26-Feb-2024-05-04-02 --- args ---
The attention method is self_relation-attention, learning rate: 0.1
args.evaluate: {:}
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 4, Pred: 4
Label: 6, Pred: 6
Label: 6, Pred: 6
Label: 6, Pred: 6
Label: 6, Pred: 6
Label: 6, Pred: 6
Label: 6, Pred: 6
Label: 6, Pred: 6
 *Acc@Video 100.000 
